,Region,Area,Timely sown,Seed,Grain appearance,Hectolitre weight,Protein content,Sedimentation value,Phenol test,Fe content,Zn content,cluster
38,North West Plains Zone (NWPZ),Delhi,Irrigated Timely Sown,WH1283,5.6,76.5,13.3,53.4,7.5,46.8,51.5,1
39,North West Plains Zone (NWPZ),Pantnagar,Irrigated Timely Sown,WH1105 (C),5.4,80.3,10.5,55.0,8.0,32.3,28.8,0
40,North West Plains Zone (NWPZ),Pantnagar,Irrigated Timely Sown,DBW187 (C),5.6,80.4,10.3,53.4,7.0,36.5,26.3,0
41,North West Plains Zone (NWPZ),Pantnagar,Irrigated Timely Sown,DBW222 (C),5.4,79.0,11.3,53.1,8.0,36.3,26.7,0
42,North West Plains Zone (NWPZ),Pantnagar,Irrigated Timely Sown,HD2967 (C),6.0,80.6,10.8,50.7,6.0,35.8,29.6,0
43,North West Plains Zone (NWPZ),Pantnagar,Irrigated Timely Sown,HD3086 (C),6.0,80.9,11.1,49.6,7.5,42.8,30.4,0
44,North West Plains Zone (NWPZ),Pantnagar,Irrigated Timely Sown,HD3349,6.0,80.8,11.4,54.2,8.0,33.4,30.3,0
45,North West Plains Zone (NWPZ),Pantnagar,Irrigated Timely Sown,PBW876B,5.8,80.8,11.4,51.5,6.5,38.0,30.7,0
46,North West Plains Zone (NWPZ),Pantnagar,Irrigated Timely Sown,HD3406M,5.6,79.9,11.1,50.7,7.0,35.6,28.3,0
47,North West Plains Zone (NWPZ),Pantnagar,Irrigated Timely Sown,DBW313#,6.2,82.3,12.3,56.1,5.5,41.2,30.4,0
48,North West Plains Zone (NWPZ),Pantnagar,Irrigated Timely Sown,PBW826,6.0,81.6,10.7,46.5,7.0,35.5,34.8,0
49,North West Plains Zone (NWPZ),Pantnagar,Irrigated Timely Sown,RAJ4548#,5.8,81.4,11.0,45.4,3.0,35.3,30.2,0
50,North West Plains Zone (NWPZ),Pantnagar,Irrigated Timely Sown,HD3354,6.2,83.1,11.5,50.0,7.0,40.0,33.9,0
51,North West Plains Zone (NWPZ),Pantnagar,Irrigated Timely Sown,WH1283,6.0,78.4,10.8,54.6,6.0,39.6,28.6,0
52,North West Plains Zone (NWPZ),Durgapura,Irrigated Timely Sown,WH1105 (C),6.2,82.1,11.8,58.4,7.5,38.9,37.7,0
53,North West Plains Zone (NWPZ),Durgapura,Irrigated Timely Sown,DBW187 (C),5.8,78.2,13.1,58.8,8.0,36.3,31.7,0
54,North West Plains Zone (NWPZ),Durgapura,Irrigated Timely Sown,DBW222 (C),6.0,78.5,11.7,60.0,8.0,33.2,30.8,0
