,Region,Area,Timely sown,Seed,Grain appearance,Hectolitre weight,Protein content,Sedimentation value,Phenol test,Fe content,Zn content,cluster
38,North East Plains Zone (NEPZ),Kanpur,Irrigated Late Sown,HD3118 (C),5.4,77.5,12.2,46.5,6.0,44.7,42.4,0
39,North East Plains Zone (NEPZ),Kanpur,Irrigated Late Sown,HI1621 (C),5.4,78.2,13.0,44.6,6.0,46.8,44.4,0
40,North East Plains Zone (NEPZ),Kanpur,Irrigated Late Sown,DBW317,5.4,78.0,13.4,41.1,6.5,43.2,49.1,0
41,North East Plains Zone (NEPZ),Kanpur,Irrigated Late Sown,DBW318,5.6,78.7,12.1,42.7,6.0,43.8,44.7,0
42,North East Plains Zone (NEPZ),Kanpur,Irrigated Late Sown,PBW835,5.6,78.4,13.3,47.7,6.5,44.2,47.0,0
43,North East Plains Zone (NEPZ),Kanpur,Irrigated Late Sown,PBW834,5.4,79.5,12.7,52.3,7.5,40.7,39.0,0
44,North East Plains Zone (NEPZ),Kanpur,Irrigated Late Sown,UP3060,5.6,78.7,13.4,65.0,7.0,44.0,49.7,0
45,North East Plains Zone (NEPZ),Kanpur,Irrigated Late Sown,DBW316,5.6,76.8,13.7,46.9,7.0,48.4,42.4,0
46,North East Plains Zone (NEPZ),Kanpur,Irrigated Late Sown,PBW833,5.6,79.4,13.5,43.8,7.0,46.8,43.0,0
47,North East Plains Zone (NEPZ),Kanpur,Irrigated Late Sown,HD3360,6.0,78.9,12.8,43.4,7.0,50.5,52.4,0
48,North East Plains Zone (NEPZ),Pusa,Irrigated Late Sown,HI1563 (C),6.2,77.2,12.4,49.6,4.0,0.0,36.4,1
49,North East Plains Zone (NEPZ),Pusa,Irrigated Late Sown,DBW107 (C),6.4,77.3,13.3,42.7,7.5,0.0,37.4,1
50,North East Plains Zone (NEPZ),Pusa,Irrigated Late Sown,HD3118 (C),6.0,75.2,12.6,51.9,6.5,0.0,35.8,1
51,North East Plains Zone (NEPZ),Pusa,Irrigated Late Sown,HI1621 (C),6.2,75.6,13.4,59.2,7.0,0.0,35.4,1
52,North East Plains Zone (NEPZ),Pusa,Irrigated Late Sown,DBW317,6.8,77.2,13.2,53.4,6.5,0.0,42.5,1
53,North East Plains Zone (NEPZ),Pusa,Irrigated Late Sown,DBW318,6.0,77.3,12.6,51.9,5.5,0.0,39.4,1
54,North East Plains Zone (NEPZ),Pusa,Irrigated Late Sown,PBW835,6.4,75.2,13.1,59.2,8.0,0.0,37.2,1
55,North East Plains Zone (NEPZ),Pusa,Irrigated Late Sown,PBW834,6.6,76.0,13.3,63.1,7.5,0.0,39.2,1
56,North East Plains Zone (NEPZ),Pusa,Irrigated Late Sown,UP3060,6.8,77.7,13.3,68.1,7.0,0.0,40.1,1
57,North East Plains Zone (NEPZ),Pusa,Irrigated Late Sown,DBW316,6.4,77.0,14.0,55.3,7.0,0.0,41.2,1
58,North East Plains Zone (NEPZ),Pusa,Irrigated Late Sown,PBW833,6.6,78.9,13.4,46.1,6.5,0.0,34.5,1
59,North East Plains Zone (NEPZ),Pusa,Irrigated Late Sown,HD3360,6.6,76.4,13.4,56.1,6.5,0.0,34.2,1
60,North East Plains Zone (NEPZ),Sabour,Irrigated Late Sown,HI1563 (C),5.4,78.8,11.9,48.8,3.0,47.5,41.0,0
61,North East Plains Zone (NEPZ),Sabour,Irrigated Late Sown,DBW107 (C),5.4,78.0,13.1,43.0,7.5,38.8,40.6,0
62,North East Plains Zone (NEPZ),Sabour,Irrigated Late Sown,HD3118 (C),5.4,73.5,12.4,54.2,6.5,34.7,36.5,0
63,North East Plains Zone (NEPZ),Sabour,Irrigated Late Sown,HI1621 (C),5.4,73.1,12.7,57.3,7.5,42.3,35.8,0
64,North East Plains Zone (NEPZ),Sabour,Irrigated Late Sown,DBW317,5.8,77.0,13.4,49.6,7.0,33.9,37.3,0
65,North East Plains Zone (NEPZ),Sabour,Irrigated Late Sown,DBW318,5.8,78.1,12.4,47.7,7.0,35.2,35.6,0
66,North East Plains Zone (NEPZ),Sabour,Irrigated Late Sown,PBW835,5.6,76.1,13.4,61.5,7.5,36.2,35.4,0
67,North East Plains Zone (NEPZ),Sabour,Irrigated Late Sown,PBW834,5.6,75.1,13.0,53.4,7.5,33.8,37.7,0
68,North East Plains Zone (NEPZ),Sabour,Irrigated Late Sown,UP3060,5.6,77.9,13.1,64.9,6.5,33.9,41.8,0
69,North East Plains Zone (NEPZ),Sabour,Irrigated Late Sown,DBW316,6.0,77.1,13.7,53.4,7.5,35.7,39.7,0
70,North East Plains Zone (NEPZ),Sabour,Irrigated Late Sown,PBW833,6.0,78.2,12.8,48.0,7.0,33.0,35.1,0
71,North East Plains Zone (NEPZ),Sabour,Irrigated Late Sown,HD3360,6.0,77.7,13.5,51.1,7.0,39.6,36.4,0
72,North East Plains Zone (NEPZ),Varanasi,Irrigated Late Sown,HI1563 (C),6.0,80.0,11.9,47.3,2.0,43.5,34.2,0
73,North East Plains Zone (NEPZ),Varanasi,Irrigated Late Sown,DBW107 (C),5.8,77.1,12.7,40.0,8.0,45.5,32.1,0
74,North East Plains Zone (NEPZ),Varanasi,Irrigated Late Sown,HD3118 (C),5.4,75.8,12.2,48.4,6.0,41.6,35.1,0
75,North East Plains Zone (NEPZ),Varanasi,Irrigated Late Sown,HI1621 (C),5.6,76.5,12.2,51.5,7.0,38.9,36.2,0
76,North East Plains Zone (NEPZ),Varanasi,Irrigated Late Sown,DBW317,5.6,75.3,13.5,48.8,7.0,36.4,38.9,0
77,North East Plains Zone (NEPZ),Varanasi,Irrigated Late Sown,DBW318,5.6,77.3,12.4,51.9,7.5,40.8,38.5,0
78,North East Plains Zone (NEPZ),Varanasi,Irrigated Late Sown,PBW835,5.8,75.9,13.6,62.3,8.0,40.5,37.2,0
79,North East Plains Zone (NEPZ),Varanasi,Irrigated Late Sown,PBW834,6.0,75.8,13.6,51.1,8.0,37.9,37.1,0
80,North East Plains Zone (NEPZ),Varanasi,Irrigated Late Sown,UP3060,5.2,75.6,13.7,56.9,7.0,40.3,44.1,0
81,North East Plains Zone (NEPZ),Varanasi,Irrigated Late Sown,DBW316,5.6,75.1,13.9,52.3,8.0,37.9,37.0,0
82,North East Plains Zone (NEPZ),Varanasi,Irrigated Late Sown,PBW833,5.6,78.2,13.6,43.8,8.5,41.4,40.0,0
83,North East Plains Zone (NEPZ),Varanasi,Irrigated Late Sown,HD3360,5.6,76.4,13.8,44.2,7.0,45.3,42.5,0
84,North East Plains Zone (NEPZ),Kanpur,Restricted Irrigated Timely Sown,HI1612 (C),5.8,80.3,10.8,55.4,8.0,38.9,37.8,0
85,North East Plains Zone (NEPZ),Kanpur,Restricted Irrigated Timely Sown,DBW252 (C),5.8,79.9,11.1,52.3,7.5,37.6,33.6,0
86,North East Plains Zone (NEPZ),Kanpur,Restricted Irrigated Timely Sown,HD3293(I) (C),5.6,79.8,10.0,43.4,7.0,34.0,35.5,0
87,North East Plains Zone (NEPZ),Kanpur,Restricted Irrigated Timely Sown,HD3171 (C),5.4,81.9,10.3,50.0,6.5,41.6,36.0,0
88,North East Plains Zone (NEPZ),Kanpur,Restricted Irrigated Timely Sown,K1317 (C),6.0,83.9,10.6,46.1,3.0,39.6,38.2,0
89,North East Plains Zone (NEPZ),Kanpur,Restricted Irrigated Timely Sown,HI1653,6.0,80.1,11.0,55.4,8.0,36.3,37.3,0
90,North East Plains Zone (NEPZ),Kanpur,Restricted Irrigated Timely Sown,DBW322,6.2,80.8,10.7,48.4,8.0,38.7,32.6,0
91,North East Plains Zone (NEPZ),Kanpur,Restricted Irrigated Timely Sown,DBW321,6.2,79.3,11.2,51.5,8.5,34.5,32.1,0
92,North East Plains Zone (NEPZ),Kanpur,Restricted Irrigated Timely Sown,HD3368#,5.8,78.8,10.3,51.9,7.5,40.0,35.9,0
93,North East Plains Zone (NEPZ),Kanpur,Restricted Irrigated Timely Sown,HI1654,5.4,79.4,10.9,53.4,7.5,37.5,36.3,0
94,North East Plains Zone (NEPZ),Kanpur,Restricted Irrigated Timely Sown,WH1281,5.6,79.4,10.8,54.2,7.5,39.9,34.9,0
95,North East Plains Zone (NEPZ),Kanpur,Restricted Irrigated Timely Sown,PBW848#,5.6,80.7,10.8,48.0,7.0,39.0,40.9,0
96,North East Plains Zone (NEPZ),Kanpur,Restricted Irrigated Timely Sown,HD3369#,5.6,80.8,10.5,54.6,7.0,40.9,38.7,0
97,North East Plains Zone (NEPZ),Kanpur,Restricted Irrigated Timely Sown,UP3062,5.4,80.6,11.3,42.3,7.0,39.2,34.9,0
98,North East Plains Zone (NEPZ),Pusa,Restricted Irrigated Timely Sown,HI1612 (C),5.6,80.6,10.9,60.4,6.5,34.9,36.6,0
99,North East Plains Zone (NEPZ),Pusa,Restricted Irrigated Timely Sown,DBW252 (C),5.6,80.3,11.8,53.4,5.0,32.4,35.9,0
100,North East Plains Zone (NEPZ),Pusa,Restricted Irrigated Timely Sown,HD3293(I) (C),5.2,79.5,12.5,45.0,7.0,32.1,43.0,0
101,North East Plains Zone (NEPZ),Pusa,Restricted Irrigated Timely Sown,HD3171 (C),5.4,80.6,12.2,61.1,5.5,38.4,40.6,0
